	entity_ner_class	count	ner_class	entity_name
1662	the Thames Gateway Development Corporation,ORG	2	the Thames Gateway Development Corporation	ORG
1660	Mayoral Development Corporation,ORG	2	Mayoral Development Corporation	ORG
2630	the last seven years,DATE	2	the last seven years	DATE
647	1.61,MONEY	2	1.61	MONEY
3517	15.89 million,CARDINAL	2	15.89 million	CARDINAL
2608	Margate Bowling Club,ORG	2	Margate Bowling Club	ORG
3020	24%,PERCENT	2	24%	PERCENT
2530	A third,CARDINAL	2	A third	CARDINAL
2526	five to 16-year-olds,DATE	2	five to 16-year-olds	DATE
2652	Titans,ORG	2	Titans	ORG
3056	two or three years,DATE	2	two or three years	DATE
1675	Sydney Olympics,EVENT	2	Sydney Olympics	EVENT
2650	Mark Aston,PERSON	2	Mark Aston	PERSON
3645	Baggaley,PERSON	2	Baggaley	PERSON
3644	32-year-old,DATE	2	32-year-old	DATE
1558	Southampton,GPE	2	Southampton	GPE
3643	Andrew Baggaley,PERSON	2	Andrew Baggaley	PERSON
3589	£700m,MONEY	2	£700m	MONEY
1650	Legacy Company,ORG	2	Legacy Company	ORG
3021	18-24,DATE	2	18-24	DATE
2117	Stephen Dorrell,PERSON	2	Stephen Dorrell	PERSON
2603	56,CARDINAL	2	56	CARDINAL
2522	£1bn over the,MONEY	2	£1bn over the	MONEY
2640	100 mile,QUANTITY	2	100 mile	QUANTITY
2606	Guildford,GPE	2	Guildford	GPE
3594	12th,ORDINAL	2	12th	ORDINAL
2639	3-4 August,DATE	2	3-4 August	DATE
3090	Slovakia,GPE	2	Slovakia	GPE
3089	Trott,PERSON	2	Trott	PERSON
708	the end of July,DATE	2	the end of July	DATE
1580	OCRA,ORG	2	OCRA	ORG
15	East London Line,FAC	2	East London Line	FAC
2081	Castle Point Borough Council,ORG	2	Castle Point Borough Council	ORG
